,p_d,g_d,q_d,g_w
1月20日,4202.85,1181.35,,665.176
1月20日,4071.51,596.43,,560.12
1月20日,3677.49,519.99,,560.12
1月20日,3940.17,442.71,,665.176
1月20日,4027.73,695.81,,665.176
1月20日,3852.61,879.64,,665.176
1月20日,3502.37,1161.68,,665.176
1月20日,3502.37,1596.66,,210.112
1月20日,2101.42,810.46,,210.112
1月20日,1576.07,948.8,,0
1月20日,1576.07,1055.73,,0
1月20日,166.36,939.65,,0
1月20日,166.36,990.01,,0
1月20日,166.36,1026.35,,0
1月21日,166.36,1050.72,,0
1月21日,166.36,1088.88,,0
1月21日,166.36,1115.48,,0
1月21日,166.36,1169.65,,0
1月21日,166.36,1220.11,,0
1月21日,166.36,1270.52,,0
1月21日,166.36,3113.13,,70.082
1月21日,166.36,3179.84,,350.142
1月21日,166.36,3064.58,,665.176
1月21日,166.36,3000.48,,665.176
1月21日,166.36,1937.94,,665.176
1月21日,166.36,552.04,,560.12
1月21日,166.36,1465.56,,560.12
1月21日,166.36,460.51,,665.176
1月21日,166.36,974.27,,665.176
1月21日,166.36,1398.44,,665.176
1月21日,166.36,1590.76,,665.176
1月21日,166.36,1850.18,,210.112
1月21日,166.36,995.83,,210.112
1月21日,166.36,1075.86,,0
1月21日,166.36,1144.08,,0
1月21日,166.36,1029.84,,0
1月21日,166.36,1068.3,,0
1月21日,166.36,1111.81,,0
1月22日,166.36,1150.65,,0
1月22日,166.36,1213.28,,0
1月22日,166.36,1263.14,,0
1月22日,166.36,1333.39,,0
1月22日,166.36,1410.25,,0
1月22日,166.36,1481.91,,0
1月22日,166.36,3606.74,,70.082
1月22日,166.36,3675.85,,350.142
1月22日,166.36,3236.07,,665.176
1月22日,166.36,3340.27,,665.176
1月22日,166.36,3091.36,,665.176
1月22日,166.36,2590.67,,560.12
1月22日,166.36,2150.09,,560.12
1月22日,166.36,1795.55,,665.176
1月22日,166.36,243.27,,665.176
1月22日,166.36,726.07,,665.176
1月22日,166.36,1500.23,,665.176
1月22日,166.36,1823.23,,210.112
1月22日,166.36,1060.53,,210.112
1月22日,166.36,1159.89,,0
1月22日,166.36,1239.92,,0
1月22日,166.36,1131.99,,0
1月22日,166.36,1184.32,,0
1月22日,166.36,1248.46,,0
1月23日,166.36,1301.82,,0
1月23日,166.36,1364.8,,0
1月23日,166.36,1402.28,,0
1月23日,166.36,1463.19,,0
1月23日,166.36,1519.85,,0
1月23日,166.36,1572.62,,0
1月23日,166.36,4315.5,,70.082
1月23日,166.36,4377.84,,350.142
1月23日,3064.57,4108.04,,665.176
1月23日,4071.51,3874.48,,665.176
1月23日,4202.85,2607.83,,665.176
1月23日,4071.51,827.58,,560.12
1月23日,3677.49,642.33,,560.12
1月23日,3940.17,1279.88,,665.176
1月23日,4027.73,644.65,,665.176
1月23日,3852.61,425.77,,665.176
1月23日,3502.37,531.79,,665.176
1月23日,3502.37,1217.03,,210.112
1月23日,2101.42,992.73,,210.112
1月23日,1576.07,1145.65,,0
1月23日,1576.07,1230.59,,0
1月23日,166.36,1102.29,,0
1月23日,166.36,1137.4,,0
1月23日,166.36,1154.37,,0
1月24日,166.36,1187.53,,0
1月24日,166.36,1212.98,,0
1月24日,166.36,1285.46,,0
1月24日,166.36,1380.5,,0
1月24日,166.36,1492.54,,0
1月24日,166.36,1600.92,,0
1月24日,166.36,4623.22,,70.082
1月24日,166.36,4740.49,,350.142
1月24日,3064.57,4693.38,,665.176
1月24日,4071.51,4496.35,,665.176
1月24日,4202.85,3065.66,,665.176
1月24日,4071.51,2724.41,,560.12
1月24日,3677.49,2285.57,,560.12
1月24日,3940.17,734.54,,665.176
1月24日,4027.73,313.52,,665.176
1月24日,3852.61,262.52,,665.176
1月24日,3502.37,273.51,,665.176
1月24日,3502.37,471.65,,210.112
1月24日,2101.42,433.03,,210.112
1月24日,1576.07,642.21,,0
1月24日,1576.07,737.55,,0
1月24日,166.36,653.4,,0
1月24日,166.36,690.39,,0
1月24日,166.36,781.27,,0
1月25日,166.36,931.68,,0
1月25日,166.36,1079.79,,0
1月25日,166.36,1215.13,,0
1月25日,166.36,1323.39,,0
1月25日,166.36,1385.19,,0
1月25日,166.36,1406.09,,0
1月25日,166.36,3915.34,,70.082
1月25日,166.36,3953.91,,350.142
1月25日,3064.57,3903.51,,665.176
1月25日,4071.51,2796.23,,665.176
1月25日,4202.85,1555.64,,665.176
1月25日,4071.51,781.03,,560.12
1月25日,3677.49,593.53,,560.12
1月25日,3940.17,470.66,,665.176
1月25日,4027.73,375.93,,665.176
1月25日,3852.61,363.63,,665.176
1月25日,3502.37,742.81,,665.176
1月25日,3502.37,1239.86,,210.112
1月25日,2101.42,674.01,,210.112
1月25日,1576.07,836.62,,0
1月25日,1576.07,955.28,,0
1月25日,166.36,877.88,,0
1月25日,166.36,971.88,,0
1月25日,166.36,1057.76,,0
1月26日,166.36,1149.74,,0
1月26日,166.36,1233.46,,0
1月26日,166.36,1305.56,,0
1月26日,166.36,1380.8,,0
1月26日,166.36,1449.9,,0
1月26日,166.36,1511.54,,0
1月26日,166.36,4338.82,,70.082
1月26日,166.36,4412.49,,350.142
1月26日,3064.57,4401.18,,665.176
1月26日,4071.51,2839.3,,665.176
1月26日,4202.85,1504.93,,665.176
1月26日,4071.51,783.32,,560.12
1月26日,3677.49,560.14,,560.12
1月26日,3940.17,785.24,,665.176
1月26日,4027.73,385.96,,665.176
1月26日,3852.61,567.57,,665.176
1月26日,3502.37,845.27,,665.176
1月26日,3502.37,913.58,,210.112
1月26日,2101.42,607.97,,210.112
1月26日,1576.07,792.55,,0
1月26日,1576.07,897.59,,0
1月26日,166.36,819.16,,0
1月26日,166.36,900.63,,0
1月26日,166.36,969.17,,0
1月27日,166.36,1049.99,,0
1月27日,166.36,1118.63,,0
1月27日,166.36,1199.54,,0
1月27日,166.36,1287.42,,0
1月27日,166.36,1358.59,,0
1月27日,166.36,1423.29,,0
1月27日,166.36,4124.45,,70.082
1月27日,166.36,4218.27,,350.142
1月27日,3064.57,4113.87,,665.176
1月27日,4071.51,2967.65,,665.176
1月27日,4202.85,1205.42,,665.176
1月27日,4071.51,759.57,,560.12
1月27日,3677.49,545.75,,560.12
1月27日,3940.17,762.8,,665.176
1月27日,4027.73,784.56,,665.176
1月27日,3852.61,343.17,,665.176
1月27日,3502.37,298.25,,665.176
1月27日,3502.37,555.15,,210.112
1月27日,2101.42,476.44,,210.112
1月27日,1576.07,741.84,,0
1月27日,1576.07,865.07,,0
1月27日,166.36,807.64,,0
1月27日,166.36,901.24,,0
1月27日,166.36,984.25,,0
1月28日,166.36,1057.06,,0
1月28日,166.36,1132.89,,0
1月28日,166.36,1219.99,,0
1月28日,166.36,1298.5,,0
1月28日,166.36,1374.06,,0
1月28日,166.36,1445.07,,0
1月28日,166.36,3555.29,,70.082
1月28日,166.36,3638.1,,350.142
1月28日,166.36,3560.94,,665.176
1月28日,166.36,3373.84,,665.176
1月28日,166.36,1923.69,,665.176
1月28日,166.36,407.62,,560.12
1月28日,166.36,162.19,,560.12
1月28日,166.36,58.82,,665.176
1月28日,166.36,15.18,,665.176
1月28日,166.36,6.45,,665.176
1月28日,166.36,16.79,,665.176
1月28日,166.36,181.33,,210.112
1月28日,166.36,379.31,,210.112
1月28日,166.36,641.98,,0
1月28日,166.36,778.28,,0
1月28日,166.36,715.41,,0
1月28日,166.36,815.46,,0
1月28日,166.36,888.53,,0
1月29日,166.36,951.11,,0
1月29日,166.36,1005.02,,0
1月29日,166.36,1061.36,,0
1月29日,166.36,1117.49,,0
1月29日,166.36,1154.33,,0
1月29日,166.36,1195.07,,0
1月29日,166.36,2941.19,,70.082
1月29日,166.36,3006.82,,350.142
1月29日,166.36,2816.24,,665.176
1月29日,166.36,2699.15,,665.176
1月29日,166.36,1182.15,,665.176
1月29日,166.36,141.01,,560.12
1月29日,166.36,60.32,,560.12
1月29日,166.36,279.42,,665.176
1月29日,166.36,359.28,,665.176
1月29日,166.36,43.99,,665.176
1月29日,166.36,14.69,,665.176
1月29日,166.36,166.4,,210.112
1月29日,166.36,334.65,,210.112
1月29日,166.36,553.85,,0
1月29日,166.36,687.73,,0
